"X","t","pval","FC","log2FC"
"CSN1S1",-10.3516071189407,4.04152897519428e-18,0.735087536681004,-0.444012033760347
"OR1I1",0.824519073881107,0.410529743732127,2.72700475203259,1.44731721427147
"DNAJC21",4.33032907327853,2.36323198815287e-05,1.11554757595445,0.157752043057533
"SGOL1",27.1693570304308,6.70779067603987e-59,10.1777704028442,3.34734964637365
"OR5K3",-0.802964770128484,0.423482284039229,0.612190012278577,-0.707948587026227
"OR2L1P",-7.05798661615014,1.25205790284764e-10,0.26443078821133,-1.91903793236148
"RAD54L",25.6515021232506,1.25294597185941e-54,8.75299887268022,3.12977738466079
"PLEKHM3",-29.4649673047211,7.77083457972408e-68,0.318303546992203,-1.6515248612577
"IPO5",-11.9309455480535,2.51695174294818e-24,0.763988389610008,-0.388377381206628
"ANKIB1",1.77134729311394,0.078482847649184,1.0983430092589,0.135328674085782
"ADCK4",10.4095942989161,1.46480640306619e-19,1.44357849070987,0.529649552381177
"C1R",-12.358292127508,8.36331798506099e-25,0.535429595205947,-0.901231210527975
"NARFL",14.0751281267474,1.16423783513713e-28,1.9137768616807,0.936422627465919
"KIAA1468",-2.45612139770294,0.0151041356061634,0.972057882090276,-0.0408858718810786
"CXCL6",-10.7850960942307,3.61103611970213e-20,0.695699855357938,-0.523463074131129
"FNIP2",-14.8888088064628,3.26997201354468e-32,0.471242381178235,-1.08545880112194
"ABRA",-5.90039061967037,3.83067219123461e-08,0.00865156897918045,-6.85282249258092
"DDA1",14.0040709839658,1.38401255859664e-32,1.41289360437399,0.498652829988013
"GNAL",-34.7574402013545,5.23100485628226e-85,0.183828266692677,-2.44356947253755
"SYNJ2",0.0325330835204587,0.974096554598256,0.997240525888074,-0.00398658258567234
"CNST",4.18883245198723,4.29009840769624e-05,1.17206056499513,0.229047121432973
"CXCL9",14.6014003484935,3.26152421290269e-33,8.62659638306855,3.10879145745356
"KCNT2",-15.0293975616273,3.24231897904734e-31,0.386312718780632,-1.37215891791374
"ATG3",8.03077704548851,1.15455610086432e-13,1.16977581496998,0.226232066884344
"SMG8",7.13467145720482,5.67399335320845e-12,1.3083662345839,0.387766432932192
"SALL4",25.0415228341404,3.68517077511543e-59,7.56269687148255,2.91890079387819
"NDST4",6.66365742340226,1.45354939479624e-10,33.31283956407,5.05800642849735
"UNC45A",3.18052049764425,0.00181707758238451,1.13106390057593,0.177680438116241
"GGTLC1",3.80919010340339,0.000208262646544474,1.75517278049009,0.811613057473808
"CAMK1G",6.91983272822656,1.32543840691704e-10,2.41460099435221,1.27178480768282
"CCNY",-6.60655468594681,2.81815968814715e-10,0.929648657262684,-0.105242514360825
"MPP1",-8.61540406461536,9.91993278141524e-15,0.715049888906636,-0.483884192902184
"OR4C3",2.18431014854827,0.0298585925502247,3.85597713246167,1.94709649581529
"SAYSD1",14.1483759282133,1.35954134492853e-31,1.49179318031491,0.577047536654566
"AACS",-3.03267029157751,0.00295903533145116,0.716428510969926,-0.481105342967654
"TRIQK",4.45603565867758,1.20686061594552e-05,1.38054368645485,0.465236541844519
"RNF2",7.85717263715654,2.60181889965628e-13,1.35053256575125,0.433528428355859
"KCNH4",-9.52762666331475,9.54999370825986e-17,0.517397595151804,-0.950654746451546
"ZNF799",0.544317975748426,0.586886657803145,1.09137794966064,0.126150800722953
"ZCCHC6",-7.44389576266663,8.60859179304064e-12,0.790635055082222,-0.338916172272088
"ADH5",-23.1142389882043,2.30202592921355e-48,0.526054589025886,-0.926715578201446
"GTF3C6",12.1275273733344,1.52900765990484e-25,1.53196166912699,0.615380200361945
"DYRK3",-12.2381126339807,7.73820339292975e-25,0.624728410960277,-0.678698953619337
"PPP2R2D",-2.29821455588554,0.0222037835617744,1.01030522625199,0.0147912156264995
"OR1A2",2.79032963149673,0.00535659983561485,Inf,Inf
"PORCN",4.09132106713177,5.86643127037803e-05,1.17094205871216,0.227669689266314
"ERN2",-3.80818220761824,0.000202953967425945,3.6006764331929,1.84826796076071
"RASSF3",-13.424164802265,7.12253888121141e-29,0.563365977806119,-0.827855654235339
"CASP10",-14.8006156197767,6.82428704123446e-32,0.54934320117274,-0.864220342869115
"GLUD1",-9.18823960174301,2.18781013290588e-17,0.871703365647189,-0.19809081506422
"GMIP",14.2375786771914,1.95604106688588e-28,1.94287612477396,0.958193919517461
"FBXL5",-15.7820536235043,6.22349198445235e-34,0.610660719051582,-0.711557048547063
"IQCC",9.52519488771783,6.18450839406825e-17,1.52059420079224,0.604635194077442
"B3GAT3",13.3412243215508,7.27556474603206e-27,1.95059261283544,0.963912498186346
"DNASE1L1",4.66410075201688,7.06815049735069e-06,1.16739414134199,0.223291733074038
"DNAJC22",6.77745232890805,3.84408497475547e-10,2.67475639569945,1.41940750358111
"MYL10",6.86135041858784,1.13759161189977e-11,Inf,Inf
"SNHG8",-7.29998619946089,1.04188027216509e-11,0.828857342739083,-0.270804278610534
"H19",-0.619775612883928,0.536462228784132,1.0192733075201,0.0275409470243586
"IGSF3",7.30263938086213,2.53386595600841e-11,1.71423825724919,0.777567639592498
"PAPOLB",-9.64043448811625,9.26071315381766e-17,0.354234377808865,-1.49722386504583
"RP9",3.45571732517129,0.000693945698952104,1.18559776858537,0.245614637461301
"PGM2L1",5.33097608282917,2.78360573370053e-07,1.55884183846925,0.640474558291442
"PBDC1",7.97417892449585,1.49706217103658e-13,1.27071500237423,0.345640497088586
"PGPEP1",-10.1465742078538,1.97904496233506e-21,0.876140151023903,-0.190766427099378
"SPATC1L",5.82219994644703,3.50772666303952e-08,1.91096840384202,0.934303924836941
"RHOD",15.0859591637616,3.14927293636686e-33,2.22504058192223,1.15383164924939
