gene,drug_PRL
201256_at,16854
201257_x_at,5443
201258_at,14658
201259_s_at,10147
201260_s_at,12528
201261_x_at,15209
201262_s_at,11257
201263_at,14401
201264_at,16464
201265_at,1518
201266_at,6651
201267_s_at,7913
201268_at,9618
201269_s_at,4733
201270_x_at,15157
201271_s_at,17974
201272_at,161
201273_s_at,18720
201274_at,3737
201275_at,14152
201276_at,21864
201277_s_at,10129
201278_at,12136
201279_s_at,3067
201280_s_at,2196
201281_at,19624
201282_at,21111
201283_s_at,9599
201284_s_at,8156
201285_at,13582
201286_at,19870
201287_s_at,19532
201288_at,19616
201289_at,19776
201290_at,11903
201291_s_at,19930
201292_at,21755
201293_x_at,7992
201294_s_at,9739
201295_s_at,8068
201296_s_at,16392
201297_s_at,20199
201298_s_at,8959
201299_s_at,5087
201300_s_at,9401
201301_s_at,8037
201302_at,18044
201303_at,15743
201304_at,18222
201305_x_at,15119
201306_s_at,5900
201307_at,20332
201308_s_at,9031
201309_x_at,489
201310_s_at,20172
201311_s_at,11091
201312_s_at,19142
201313_at,20214
201314_at,14630
201315_x_at,9045
201316_at,13145
201317_s_at,4848
201318_s_at,18369
201319_at,4066
201320_at,10448
201321_s_at,22151
201322_at,14894
201323_at,20552
201324_at,96
201325_s_at,3414
201326_at,19106
201327_s_at,19636
201328_at,13880
201329_s_at,13308
201330_at,1565
201331_s_at,15011
201332_s_at,13410
201333_s_at,21158
201334_s_at,16579
201335_s_at,19485
201336_at,13814
201337_s_at,13613
201338_x_at,10560
201339_s_at,13967
201340_s_at,19412
201341_at,2767
201342_at,11983
201343_at,10964
201344_at,19995
201345_s_at,14150
201346_at,13481
201347_x_at,20268
201348_at,3218
201349_at,12519
201350_at,19820
201351_s_at,15467
201352_at,13789
201353_s_at,21543
201354_s_at,9101
201355_s_at,1823
201356_at,18062
201357_s_at,20646
201358_s_at,12690
201359_at,10914
201360_at,21641
201361_at,20672
201362_at,17569
201363_s_at,16626
201364_s_at,7576
201365_at,14452
201366_at,19625
201367_s_at,21861
201368_at,19457
